AUTHOR	COAUTHORS
M. J. Rijckaert	{'E. J. C. Walraven': 1}
M. K. Bennett	{}
M. Kathleen Thomas	{'Randall C. Campbell': 1}
M. Krol	{'B. Minzes': 1}
M. L. Chaudhry	{}
M. L. Cropper	{}
M. Larrán Jorge	{'W. Rees': 1}
M. Laurentius Marais	{}
M. Lohmann	{'Bernhard Kirchg\xc3\xa4ssner': 1, 'Stadtarchiv Konstanz': 1}
M. M. Bober	{'Feliks Gross': 1}
M. M. Knight	{'Benjamin E. Thomas': 1, 'John R. Andrus': 1, 'Isabel A. Ward': 1, 'E. W. Bovill': 1, 'Charles Robequain': 1}
M. M. Postan	{'Edouard Perroy': 1, 'N. P. Graziansky': 1, 'Comte de Neufbourg': 1, 'Georges Guichard': 1}
M. MARENGHI	{'G. Masillo': 1}
M. Mackenzie Lees	{}
M. Malý	{}
M. Marion	{}
M. Mason Gaffney	{}
M. Max Croce	{'Howard Kung': 1, 'Lukas Schmid': 1, 'Thien T. Nguyen': 1}
M. Mazzucchelli	{}
M. Moreaux	{}
M. Mukras	{}
M. N. Pearson	{'George Bryan Souza': 1}
M. O. Clement	{'Richard A. Musgrave': 1}
M. P. O'Connell	{}
M. PANTALEONI	{}
M. Postan	{}
M. R. Benedict	{'A. F. Du Plessis': 1}
M. R. PRESTON	{'F. M. Godfrey': 1}
M. Rist	{}
M. Ryan Haley	{'Harry J. Paarsch': 1}
M. S. Rix	{}
M. S. Soutar	{'E. H. Wilkins': 1, 'P. Sargant Florence': 1}
M. S. Wildman	{'Hartley Withers': 1, 'Walter Bagehot': 1}
M. SANDY HERSHCOVIS	{'TARA C. REICH': 1}
M. Sami Kassem	{'John S. Efroymson': 1}
M. Sami Kassen	{'William B. Wagner': 1}
M. Scott Taylor	{}
M. Shabri Abd. Majid	{'M. Shabri Abd. Mahrizal': 1}
M. Sherris	{}
M. T. Buchanan	{}
M. T. Hollond	{'Lorie Tarshis': 1}
M. T. L. BIZLEY	{}
M. T. Rankin	{'E. W. Shanahan': 1, 'L. W. White': 1}
M. Tappan Hollond	{'W. Macdonald': 1, 'A. Fenner Brockway': 1, 'Irving Fisher': 1, 'L. Mayers': 1}
M. V. Posner	{'C. D. Foster': 1}
M. V. Pylee	{'N. Das': 1}
M. VICTORIA MURILLO	{'JORGE MANGONNET': 1}
M. Venkatesan	{'Francesco Nicosia': 1, 'Hugh G. Wales': 1, 'Yoram Wind': 1, 'Martin R. Warshaw': 1, 'James F. Engel': 1}
M. Vinelli	{}
M. W. Beresford	{'Leopold Genicot': 1, 'H. L. Gray': 1}
M. W. Jackson	{}
M. W. Reder	{'D. P. Apte': 1, 'E. Lundberg': 1, 'K. Wickman': 1, 'R. G. Pendse': 1, 'N. V. Sovani': 1, 'G. Rehn': 1, 'R. Meidner': 1}
M. W. Sasieni	{}
M. W. Small	{}
M. W. THRING	{}
M. Wayne Marr	{'John L. Trimble': 1, 'John R. Nofsinger': 1}
M. Weigert	{}
M.F. Wolff	{}
MABEL NEWCOMER	{}
MACEDONIO BARRERA RĪOS	{}
MAFFEO PANTALEONI	{'GEORGES VILLAIN': 1}
MAGALI A. DELMAS	{'MARIA J. MONTES-SANCHO': 1}
MAGNUS JOHANNESSON	{'PER-OLOV JOHANSSON': 1}
MALCOLM WILLIAMSON	{}
MALCOLM YORKE	{'Fiona MacCarthy': 1}
MANCUR OLSON	{'Richard D. Bartel': 1}
MANFRED GROTEN	{'Enno B\xc3\xbcnz': 1}
MANOLIS GALENIANOS	{}
MANUEL GÓMEZ MORÍN	{}
MARCEL CLERMONT	{'ALEXANDER DIRKSEN': 1}
MARCELLO BOLDRINI	{}
MARCIN KACPERCZYK	{'STIJN VAN NIEUWERBURGH': 1, 'LAURA VELDKAMP': 1}
MARCO BERTINI	{'LUC WATHIEU': 1, 'SHEENA S. IYENGAR': 1}
MARCO MANACORDA,	{'NORBERT SCHADY': 1, 'CAROLINA SANCHEZ-PARAMO': 1}
MARIANNE P. HOYNES	{'HILARY W. SCHANZENBACH': 1}
MARIE-PASCALE SENKEL	{}
MARILENA BERTOLINO	{'DONALD M. TRUXILLO': 1, 'FRANCO FRACCAROLI': 1}
MARILYN HUNTER BRAGUGLIA	{'MARY LOU ROSENCRANZ': 1}
MARINA VAIZEY	{}
MARIO ALBERTI	{'G. Roulleau': 1}
MARJORIE ARMSTRONG-STASSEN	{'FRANCINE SCHLOSSER': 1}
MARK A. JOHNSON	{'DOUGLAS J. LAMDIN': 1}
MARK A. MONE	{}
MARK DINCECCO	{'Wenkai He': 1}
MARK GOYDER	{}
MARK LINO	{}
MARK McCONAGHY	{}
MARK PAUL GIUS	{}
MARK S. SEASHOLES	{'NING ZHU': 1}
MARKUS BEHN	{'RAINER HASELMANN': 1, 'PAUL WACHTEL': 1}
MARKUS K. BRUNNERMEIER	{'MARTIN OEHMKE': 1}
MARKUS KRISHNAMURTHY	{}
MARKUS RAASCH	{'Hannes Stekl': 1, 'Christa H\xc3\xa4mmerle': 1, 'Ernst Bruckm\xc3\xbcller': 1}
MARLA BASKERVILLE WATKINS	{'KARL AQUINO': 1, 'ALEXIS NICOLE SMITH': 1}
MARSHALL D. COBLEIGH	{}
MARTHA MAZNEVSKI	{}
MARTIN CROSS	{}
MARTIN DRIBE	{}
MARTIN M. PERLINE	{'RONALD W. PRESLEY': 1}
MARTIN S. FELDSTEIN	{'Richard D. Bartel': 1}
MARTIN SAXE	{}
MARY ARCHER	{}
MARY O'SULLIVAN	{}
MARY WARNOCK	{'Conrad Russell': 1}
MARY WINTER	{}
MASOOD AHMED	{}
MATTHEW PRESCOTT OXMAN	{}
MATTHEW S. MINGUS	{'CATHERINE M. HORIUCHI': 1}
MATTHEW SEMADENI	{'BRIAN S. ANDERSON': 1}
MATTHEW T. WITT	{'LANCE DEHAVEN-SMITH': 1}
MATTHEW V. FUNG	{}
MATTHIAS SPITZMULLER	{'LINN VAN DYNE': 1}
MAURA L. SCOTT	{'MARTIN MENDE': 1, 'LISA E. BOLTON': 1}
MAUREEN MORRIN	{'JOHN BROUSSARD': 1, 'SUSAN BRONIARCZYK': 1, 'J. JEFFREY INMAN': 1}
MAURICE DECAILLOT	{}
MAURICE GOLDSMITH	{'Sema Marks': 1, 'Anthony G. Oettinger': 1}
MAURICE MacDONALD	{'ROBIN A. DOUTHITT': 1}
MAURICE S. NEWMAN	{}
MAURICE SCOTT	{}
MAURICE STRONG	{'Michael de Pencier': 1}
MAX P. LEITTERSTORF	{'SABINE B. RAU': 1}
MENZIE D. CHINN	{'MICHAEL J. MOORE': 1}
META STEIN	{'SARAH ZAFAR': 1}
MICHAEL AYRTON	{}
MICHAEL BRAULKE	{'VIKTOR MENSCHOW': 1}
MICHAEL BRAWNE	{'Richard D. Altick': 1}
MICHAEL E. BORUS	{}
MICHAEL GRADE	{}
MICHAEL HESELTINE	{}
MICHAEL HOWARD	{}
MICHAEL JOHN BURTON	{}
MICHAEL KEANE	{'NADA WASI': 1}
MICHAEL KONOPASKI	{'SARAH JACK': 1, 'ELEANOR HAMILTON': 1}
MICHAEL MIDDLETON	{'Roger Berthoud': 1, 'Natalia Dumitresco': 1, 'Pontus Hulten': 1, 'Alexandre Istrati': 1, 'Clough Williams-Ellis': 1}
MICHAEL MOODY	{}
MICHAEL OLIVER	{'Se\xc3\xa1n Jennett': 1}
MICHAEL P. CLEMENTS	{'DAVID I. HARVEY': 1}
MICHAEL SOCKIN	{'WEI XIONG': 1}
MICHAEL T. STEVENS	{}
MIGUEL ANTÓN	{'CHRISTOPHER POLK': 1}
MIHÁLY KUPA	{}
MIKE BREWER	{'TOM CLARK': 1, 'MATTHEW WAKEFIELD': 1}
MIKE BURKART	{'DENIS GROMB': 1, 'HOLGER M. MUELLER': 1, 'FAUSTO PANUNZI': 1}
MIKLÓS RIESZ	{}
MING LI	{'WILLIAM H. MOBLEY': 1, 'AIDAN KELLY': 1}
MOHAMMAD AFZAL	{'ABBAS MIRAKHOR': 1, 'Muhammad Afzal': 1}
MOHAN MUNASINGHE	{'MUHAMMAD JAHANGIR': 1}
MORDEHAI MIRONI	{}
MORRIS BECK	{}
MORRIS M. KLEINER	{'JERRY NICKELSBURG': 1, 'ADAM M. PILARSKI': 1}
MORRIS T. CARPENTER	{}
MUHAMMAD AFZAL	{'MUHAMMAD GULFAM ARSHED': 1, 'KAFEEL SARWAR': 1}
MUNIR AHMAD	{'BORIS E. BRAVO-URETA': 1}
MURRAY L. WEIDENBAUM	{}
MURRAY WEIDENBAUM	{'STEPHEN VOGT': 1}
MUSSARAT JABEEN	{'MUHAMMAD SALEEM MAZHAR': 1}
Ma. Dolores Arana I.	{'Michel Grenon': 1}
Ma. J. Serrano Cardona	{'Bienvenida Almela D\xc3\xadez': 1}
Ma. José Arcas Pellicer	{}
Mabel F. Timlin	{}
Mabel Lie	{'Susan Baines': 1}
Mabel Newcomer	{'Ruth Gillette Hutchinson': 1}
Maciej H. Kotowski	{'Richard J. Zeckhauser': 1}
Mack P. Holt	{'James B. Collins': 1}
Maddy Janssens	{}
Madeleine Zelin	{'Paul A. Van Dyke': 1}
Madhubalan Viswanathan	{'Sunder Narayanan': 1}
Magdalena Massot Perelló	{'Eliseo Navarro Arribas': 1, 'Juan M. Nave Pineda': 1}
Magnus Allgulin	{'Tore Ellingsen': 1}
Magnus Brechtken	{'Gabriele Metzler': 1}
Mahinder D. Chaudhry	{'Bert F. Hoselitz': 1}
Mahmood A. Zaidi	{'Bryan M. Downie': 1}
Mahmood Hasan Khan	{'Sarfraz Khan Qureshi': 1, 'Moazam Mahmood': 1, 'M. Ghaffar Chaudhry': 2}
Mahmood Mamdani	{}
Maike Andresen	{'Franziska Bergdolt': 1, 'C. M. Vance': 1, 'Y. Paik': 1}
Maja Klun	{'Helena Bla\xc5\xbei\xc4\x87': 1}
Maja Micevska Scharf	{'Dil Bahadur Rahut': 1}
Majed R. Muhtaseb	{}
Majken Schultz	{'Mary Jo Hatch': 1}
Major Parlby	{}
Makoto Abe	{}
Makoto Kakinaka	{'Ryuta Ray Kato': 1}
Maksymilian Kwiek	{}
Malcolm Abbott	{}
Malcolm Alexander	{}
Malcolm Baker	{'Jeffrey Wurgler': 2}
Malcolm Falkus	{'Charles Feinstein': 1, 'Anne Digby': 1}
Malcolm Getz	{'David L. Kirp': 1}
Malcolm H. Bryan	{'Herbert Agar': 1, 'Allen Tate': 1}
Malcolm H. Liggett	{}
Malcolm Keir	{'Norman J. Ware': 1}
Malcolm R. Fisher	{'W. W. Heller': 1, 'F. M. Boddy': 1, 'C. L. Nelson': 1, 'Mark Blaug': 1}
Malcolm R. Gray	{'Stephen J. Turnovsky': 1}
Malcolm Rutherford	{}
Malcolm Sawyer	{}
Malcolm Warner	{}
Malin Adolfson	{'Mattias Villani': 1, 'Stefan Las\xc3\xa9en': 1, 'Jesper Lind\xc3\xa9': 1}
Malyn Newitt	{'Catherine Higgs': 1}
Man-Seop Park	{}
Mana Komai	{'Mark Stegeman': 1, 'Benjamin E. Hermalin': 1}
Mancur Olson,	{}
Manel Antelo	{'Maria L. Loureiro': 1}
Manfred Alexander	{'Helmuth Feigl': 1}
Manfred Auer	{'Heike Welte': 1, 'Georg von Willich': 1}
Manfred Becker	{'Karl Heinz Sonntag': 1}
Manfred D. Jankowski	{'Heinz-Otto Sieburg': 1}
Manfred Funke	{'Wolfgang-Ulrich Prigge': 1, 'Manfred Hennen': 1}
Manfred Grtner	{}
Manfred Hellmann	{'Gotthold Rhode': 1}
Manfred J. M. Neumann	{}
Manfred Knayer	{}
Manfred Merkes	{'Klaus-J\xc3\xb6rg Ruhl': 1}
Manfred Moldaschl	{'Dirk Fischer': 1}
Manfred Neumann	{'Vincent Ostrom': 1, 'Hartmut Picht': 1, 'David Feeny': 1}
Manfred Straube	{'Lambert F. Peters': 1}
Mani R. Subramani	{'N. Venkatraman': 1}
Manju K. Ahuja	{'Charles J. Kacmar': 1, 'Joey F. George': 1, 'Katherine M. Chudoba': 1, 'D. Harrison McKnight': 1}
Manning Nash	{'Guillermo de la Pe\xc3\xb1a': 1}
Manon Tremblay	{'Daniel Stockemer': 1, 'Matthew Kerby': 1, 'R\xc3\xa9jean Pelletier': 1}
Manoucher Parvin	{}
Mansel Blackford	{'Maurice L\xc3\xa9vy-Leboyer': 1, 'Alice Teichova': 1, 'Helga Nussbaum': 1}
Manuel A. Gómez	{'Tiago Neves Sequeira': 1}
Manuel Adelino	{'Miguel A. Ferreira': 1}
Manuel Angel Abdala	{}
Manuel Cabral	{'Joana Silva': 1}
Manuel Escudero	{'JOSE M. ALCARAZ': 1, 'EAPPEN THIRUVATTAL': 1}
Manuel G. Serapio	{'Donald H. Dalton': 1}
Manuel Gottlieb	{'Cyril A. Zebot': 1}
Manuel Heitor	{'David Gibson': 1}
Manuel MESA A.	{'Gilberto Loyo': 1}
Manuel Nicklich	{}
Manuel R. Agosin	{'Franklin Huaita': 1}
Manuel S. Santos	{'Michael Woodford': 1}
Manuel SÁNCHEZ SARTO	{}
Manuel Sánchez Sarto	{'Naciones Unidas': 1}
Manuela Moschella	{}
Manus Brülhart	{}
Mao Tse-tung	{'Mao K\xc3\xb3rbash': 1, 'C. R. Maidanik': 1, 'Che Guevara': 1, 'Josip Broz Gerratana': 1, 'L. Basso': 1, 'R. Rossanda': 1, 'Mao Solodovnikov y Bogoslovski': 1, 'C. R. Bondarchuk': 1, 'C. R. Rodr\xc3\xadguez': 1, 'Josip Broz Tito': 1, 'Josip Broz Bettelheim': 1, 'C. R. Allende': 1, 'Josip Broz Sweezy': 1, 'Josip Broz Chitarin': 1, 'S. Amin': 1, 'Josip Broz Cerroni': 1}
Mao-Cheng Cai	{'Wenan Zang': 1, 'Xiaotie Deng': 1}
Mara Olekalns	{'Carol T. Kulik': 1, 'Lin Chew': 1}
Marat Ibragimov	{'Rustam Ibragimov': 1}
Marc C. K. Yang	{'James V. Bradley': 1}
Marc Chesney	{'Louis Scott': 1}
Marc Crapez	{'Enzo Traverso': 1}
Marc Filser	{'Pierre DESMET': 1}
Marc Flandreau	{'Pablo Martin Acena': 1, 'Jaime Reis': 1}
Marc H. Meyer	{'James M. Utterback': 1, 'Peter Tertzakian': 1}
Marc Holzer	{'Dorothy Olshfski': 1}
Marc J. Stern	{'Jacob S. Hacker': 1}
Marc L. Lipson	{'William Megginson': 1, 'Carlos P. Maquieira': 1}
Marc Nerlove	{'Efraim Sadka': 1, 'Assaf Razin': 1}
Marc O. Zilberman	{'Rebecca Gordon': 1, 'David Taylor': 1}
Marc Rysman	{}
Marc Scholten	{'Daniel Read': 1}
Marc W. Emery	{'John T. Moreno': 1}
Marc-Arthur Diaye	{}
Marcel Boldorf	{'Katja Patzel-Mattern': 1, 'Miriam Gebhardt': 1, 'Stefan Zahlmann': 1}
Marcel Boumans	{'Diane Coyle': 1}
Marcel Boyer	{'Donatella Porrini': 1}
Marcel J. Ricard	{}
Marcelle Arak	{}
Marcellus S. Snow	{}
Marcelo Bucheli	{'Miguel Tinker Salas': 1}
Marcelo Selowsky	{}
Marci R. Green	{'John R. Ch\xc3\xa1vez': 1}
Marcia Millon Cornett	{'Hassan Tehranian': 1, 'Jamie John McNutt': 1}
Marcin R. Wyczalkowski	{}
Marco Caliendo	{'Steffen K\xc3\xbcnn': 1, 'Frank Wie\xc3\x9fner': 1, 'Jens Hogenacker': 1}
Marco Fugazza	{'Fr\xc3\xa9d\xc3\xa9ric Robert-Nicoud': 1}
Marco Manacorda	{'Jonathan Wadsworth': 1, 'Alan Manning': 1}
Marco Marinucci	{'Wouter Vergote': 1}
Marco Runkel	{}
Marco Scarsini	{'F. Spizzichino': 1, 'Y. Murata': 1, 'H. Koch': 1}
Marcus Alexis	{}
Marcus Asplund	{'Richard Friberg': 1}
Marcus C. Christiansen	{'Lorenz Zirkelbach': 1, 'Martin Eling': 1, 'Jan-Philipp Schmidt': 1}
Marcus E. Rebick	{'Norma J. Chalmers': 1}
Marcus Gudera	{'Alceste Santuari': 1}
Marcus J. Chambers	{'M. Hashem Pesaran': 1, 'Michael R. Wickens': 1, 'Peter Schmidt': 1}
Marcus Kottmann	{}
Marcus Phipps	{'Jan Brace-Govan': 1}
Marcus Rebick	{'Joseph J. Fucini': 1, 'Suzy Fucini': 1}
Marcus T. Allen	{'Emil E. Malizia': 2, 'J. Sa-Aadu': 1, 'Tyler Yang': 1, 'James E. Larsen': 1, 'John L. Glascock': 2}
Marcus T. Carter	{}
Marcus T. Jones	{'Travis L. Weeks': 1}
Mardi Dungey	{'Adrian R. Pagan': 1, 'Vance L. Martin': 1}
Marek Korczynski	{'Marino Regini': 1, 'Jim Kitay': 1, 'Martin Baethge': 1}
Marga Peeters	{}
Marga Pröhl	{}
Margaret Aksoy-Pierson	{'Gad Allon': 1, 'Awi Federgruen': 1}
Margaret C. Campbell	{'Caleb Warren': 1}
Margaret Cuthbert	{'Michael Cuming': 1}
Margaret E. Goertz	{'G. Alfred Hess,': 1}
Margaret E. Slade	{}
Margaret Fenn	{'Hans B. Thorelli': 1}
Margaret G. Bondfield	{}
Margaret G. Myers	{'Lester V. Chandler': 1}
Margaret G. Reid	{'Marilyn Dunsing': 1}
Margaret Gay Davies	{'Anthony F. Upton': 1}
Margaret Goertz	{'Malik Edwards': 1}
Margaret H. Hogg	{}
Margaret Loomis Stecker	{}
Margaret Maurer-Fazio	{'Rachel Connelly': 1, 'Lixin Tang': 1, 'Lan Chen': 1}
Margaret Pryor	{'Warren C. Waite': 1}
Margaret Rappaport	{}
Margaret S. Gordon	{'Irvin Sobel': 1, 'Richard C. Wilcock': 1, 'Chi-Yuen Wu': 1, 'Ann H. McCorry': 1}
Margaret Sharp	{'A. J. Brown': 1}
Margaret Webb	{}
Margareta Bögelein	{'Hanns Schmidt': 1, 'Roland Wurm': 1, 'Ralf Reichwald': 1, 'Hans-Erich M\xc3\xbcller': 1, 'Christian Meier': 1, 'Gerhard Hesch': 1, 'Arnold Picot': 1, 'Marius Schuller': 1, 'Arno Prangenberg': 1}
Margareth Lanzinger	{'Michel Oris': 1}
Margarethe F. Wiersema	{'Karen A. Bantel': 1, 'Harry P. Bowen': 1}
Margherita Zanasi	{'Paul Trescott': 1}
Margret Kraul	{'Georg R\xc3\xbcckriem': 1, 'Manfred Heinemann': 1}
Margrit Zauner	{'Martina Schmidt': 1}
Marguerite C. Burk	{'R. J. Hammond': 1}
Marguerite Dupree	{'D. W. Sabean': 1, 'H. Medick': 1}
Marguerite Schneider	{'Alix Valenti': 1}
Mari Huhtala	{'Saija Mauno': 1, 'Taru Feldt': 1, 'Katriina Hyv\xc3\xb6nen': 1}
Mari Meel	{'Maksim Saat': 1}
Mari Sako	{}
Maria Battarra	{'G\xc3\xbcne\xc5\x9f Erdo\xc4\x9fan': 1, 'Daniele Vigo': 1}
Maria Cancian	{'Daniel R. Meyer': 1}
Maria Cristina Marcuzzo	{'Annalisa Rosselli': 1}
Maria Dolores Gadea Rivas	{'Gabriel Perez-Quiros': 1}
Maria E. Gallego	{}
Maria Goltsman	{}
Maria Habacher	{}
Maria L. Loureiro	{'Wendy J. Umberger': 1}
Maria Mercanti-Guérin	{}
Maria Weber	{'F. Demarchi': 1, 'G. Melis': 1}
Mariagiovanna Baccara	{}
Marialaura Pesce	{}
Marian Bowley	{}
Marian C. Burke	{}
Marian Krzyzaniak	{'Horst Claus Recktenwald': 1, 'Martha Stolper': 1}
Marian Simms	{}
Mariana P. Candido	{'Kevin D. Roberts': 1, 'Toyin Falola': 1}
Marianne A. Ferber	{'Mich\xc3\xa8le A. Pujol': 1, 'Helen M. Lowry': 1}
Marianne Baxter	{'Michael A. Kouparitsas': 1}
Marianne Bertrand	{'Francis Kramarz': 1, 'Antoinette Schoar': 1, 'David Thesmar': 1}
Marianne Guille	{}
Marianne P. Bitler	{'Lynn A. Karoly': 1}
Marianne v. Herzfeld	{}
Marick F. Masters	{'Christina Heavrin': 1, 'Michael R. Carrell': 1}
Marie Anchordoguy	{'Jason Dedrick': 1, 'Kenneth L. Kraemer': 1}
Marie Dessauer-Meinhardt	{}
Marie Fleming	{'Michael Kelly': 1}
Marie J. Bouchard	{'Damien Rousseli\xc3\xa8re': 1}
Marie Lavigne	{'Jean Radvanyi': 1, 'Jean-Charles Asselain': 1, 'Nicolas Spulber': 1}
Marie-Claire Guillard	{}
Marie-Cécile Cervellon	{}
Marie-Joie Brady	{'Andr\xc3\xa9 Pratte': 1}
Marie-Pierre Dargnies	{}
Marie-Thérèse Chicha	{'Carol Agocs': 1, '\xc3\x89ric Charest': 1}
Marieka Klawitter	{}
Marilyn Casto	{'Lara Kriegel': 1}
Marilyn Marks Rubin	{}
Marilyn Moon	{'Robert L. Clark': 1, 'Ronald A. Schrimper': 1, 'George L. Maddox': 1, 'Daniel A. Sumner': 1}
Marilyn Palmer	{'Stanley Chapman': 1}
Marilyn R. Flowers	{'C. K. Rowley': 1}
Marina Halac	{}
Marina Latukha	{}
Mario B. Lamberte	{'F. J. A. Bouman': 1}
Mario Bandini	{'A. Serpieri': 1}
Mario Chiaudano	{}
Mario Damill	{'Roberto Frenkel': 1, 'Luciana Juvenal': 1}
Mario F. Bognanno	{'Donghoon Yang': 1, 'Michael P. Keane': 1}
Mario Fumagalli	{'E. Ott': 1, 'H. Bonnet': 1, 'F. Santalucia': 1, 'C. Barnett': 1, 'M. Tinacci Mossello': 1, 'P. Claval': 1, 'B. T. Bayliss': 1, 'V. Castronovo': 1, 'P. Cloke': 1, 'L. Laurenti': 1, 'G. Leptin': 1, 'Maria Cristina Gibelli': 1, 'Roberto Camagni': 1, 'G. Cafaro': 1, 'G. Busino': 1, 'N. Darvas': 1, 'P. Coppola': 1, 'A. Pin': 1, 'K. Brandt': 1, 'J. Barsalou': 1, 'C. Caldo': 1}
Mario I. Blejer	{'Mohsin S. Khan': 1}
Mario J. Crucini	{'Mototsugu Shintani': 1, 'Takayuki Tsuruga': 1}
Mario Krieger	{'Norma Prieto': 1}
Mario L. Belotti	{}
Mario LAJOIE	{'Gregory S. Kealey': 1, 'G. Douglas Vaisey': 1, 'John Battye': 1, 'Marie De Youne': 1}
Mario Liverani	{}
Mario M. Cuomo	{}
Mario Menegatti	{}
Mario Monteforte Toledo	{}
Mario Pines	{'Severino Serpi': 1, 'Giancarlo Mazzocchi': 1, 'Giancarlo Lizzari': 1, 'Duccio Cavalieri': 1}
Mario Polese	{}
Mario Rapoport	{}
Mario Seccareccia	{}
Marion Hayes	{}
Marion Hübner	{}
Marion Phillips	{'Marco Fanno': 1}
Marion R. Larsen	{}
Marisa Hidalgo-Hidalgo	{}
Maritza Sotomayor	{}
Marius Wehner	{'Paul G.W. Jansen': 1, 'Nicky Dries': 1, 'David E. Guest': 1, 'Terry Knight': 1, 'Mike Clinton': 1, 'Dorien T.A.M. Kooij': 1, 'Josje S.E. Dikkers': 1, 'Roland Pepermans': 1}
Mariya Bobina	{'Diana Sabotinova': 1}
Mariëlle den Hengst	{'Henk G. Sol': 1}
Marjorie C. Egloff	{}
Marjorie Chibnall	{'Dom David Knowles': 1}
Marjorie E. Wood	{'Ruth Wallis Herndon': 1, 'John E. Murray': 1}
Marjorie S. Turner	{}
Mark A Gray	{}
Mark A. Cohen	{}
Mark A. Lemley	{'Carl Shapiro': 1}
Mark A. Stadtherr	{'Dale F. Rudd': 1}
Mark A. Youngren	{}
Mark A. Zupan	{}
Mark Aguiar	{'Emmanuel Farhi': 1, 'Manuel Amador': 1, 'Gita Gopinath': 1}
Mark Aldrich	{'Bonnie A. Osif': 1, 'Thomas W. Conking': 1, 'Anthony J. Baratta': 1}
Mark B. Baribeau	{}
Mark B. Schupack	{}
Mark B. Stewart	{'Joanna K. Swaffield': 1}
Mark Bagnoli	{'Barton L. Lipman': 1}
Mark Bevir	{}
Mark Blaug	{'Tomoyoshi Fujizuka': 1}
Mark Bradbury	{}
Mark Broadie	{'Deniz Cicek': 1, 'Assaf Zeevi': 1}
Mark C. Freeman	{'Ben Groom': 1}
Mark C. Long	{}
Mark C. Maletz	{}
Mark Casson	{'John S. Lee': 1}
Mark Cooper	{}
Mark Curtis	{'Guillermo de la Dehesa': 1}
Mark D. Agee	{'Scott E. Atkinson': 1, 'Thomas D. Crocker': 1}
Mark D. Flood	{'Ronald J. Mahieu': 1, 'Ronald Huisman': 1, 'Kees G. Koedijk': 1}
Mark D. Promislo	{'Robert A. Giacalone': 1, 'John R. Deckop': 1}
Mark D. White	{'Andrew Yuengert': 1}
Mark Duggan	{}
Mark E. Fisher	{'John J. Seater': 1}
Mark E. Friedman	{}
Mark E. Rodekohr	{}
Mark E. Smith	{'Eileen O. van Ravenswaay': 1, 'Stanley R. Thompson': 1}
Mark F. Peterson	{}
Mark Fedenia	{'Theoharry Grammatikos': 1}
Mark Feldman	{'Michael Spagat': 1}
Mark Finnane	{'Mark Finanne': 1, 'Stephen Garton': 1}
Mark G. Dotzour	{}
Mark Gehlhar	{'Agapi Somwaru': 1, 'Maureen T. Rimmer': 1, 'Peter B. Dixon': 1, 'Ashley R. Winston': 1}
Mark Grinblatt	{'Matti Keloharju': 1}
Mark Gruber	{'Jonathan Vabson': 1}
Mark H. Lang	{'Russell J. Lundholm': 1}
Mark H. Meyer	{}
Mark H. Moore	{}
Mark H. Rose	{}
Mark Harrison	{'O. Crisp': 1}
Mark Hayes	{}
Mark Hennessy	{}
Mark Hirschey	{'Jerry J. Weygandt': 1}
Mark Ibele	{'Brad Williams': 1, 'Jon David Vasch\xc3\xa9': 1}
Mark J. Browne	{'Brenda P. Wells': 1}
Mark J. Koetse	{'Arno J. van der Vlist': 1, 'Henri L. F. de Groot': 1}
Mark J. Nuijten	{'Wolfgang Wittenberg': 1}
Mark J. Ready	{}
Mark J. Rozell	{'Phillip Abbott': 1}
Mark Kosmo	{}
Mark L. Fowler	{}
Mark L. Kahn	{'William J. Abernathy': 1}
Mark L. Money	{}
Mark Munn	{'Seymour Sudman': 1}
Mark O. Dickerson	{'Gabriela Tarazona-Sevillano': 1, 'John B. Reuter': 1}
Mark P. Taylor	{}
Mark Page	{'Ian Kershaw': 1, 'David M. Smith': 1}
Mark Perlman	{'Donald L. Martin': 1}
Mark R. Eaker	{'Andr\xc3\xa9 F. Perold': 1, 'Zvi Bodie': 1, 'Kenneth A. Froot': 1, 'Robert C. Merton': 1, 'Erik R. Sirri': 1, 'Peter Tufano': 1, 'Dwight B. Crane': 1, 'Scott P. Mason': 1}
Mark R. Forehand	{'Rohit Deshpand\xc3\xa9': 1}
Mark R. Metcalfe	{}
Mark R. Rosenzweig	{}
Mark R. Rutgers	{}
Mark R. Wicclair	{'Richard P. Cunningham': 1}
Mark S. Freel	{}
Mark S. Rzepczynski	{'Greg B. Davies': 1, 'Arnaud de Servigny': 1}
Mark Schankerman	{'Paul Stoneman': 1, 'Partha Dasgupta': 1}
Mark Schroder	{}
Mark Setterfield	{'Roger E. Backhouse': 1}
Mark Skousen	{}
Mark Spoerer	{'Terry Gourvish': 1, 'Roman K\xc3\xb6ster': 1}
Mark Sproule-Jones	{'Kenneth D. Hart': 1}
Mark Starik	{'Halina Szejnwald Brown': 1, 'Allen L. White': 1, 'Patrick Derr': 1, 'Ortawin Renn': 1}
Mark THOMPSON	{'R. Bean': 1}
Mark Thomas	{}
Mark Thompson	{'Larry F. Moore': 1}
Mark Thornton	{}
Mark V. Pauly	{}
Mark Van Boening	{'Elisabet Rutstrom': 1, 'Tanja Blackstone': 1, 'Michael McKee': 1}
Mark W. Nichols	{'Mehmet Serkan Tosun': 1}
Mark W. Rosegrant	{'Simla Tokgoz': 1, 'Prapti Bhandary': 1}
Mark W. Watson	{}
Mark Weisler	{}
Markos Mamalakis	{}
