AUTHOR	COAUTHORS
A. Sampson	{'H. Tulkens': 2, 'T. Szentes': 1, 'B. Van Haeperen': 2, 'I. Meznerics': 1, 'J. P. Schoder': 2}
A. Schwartzenberger	{}
A. Slaven	{'Royden Harrison': 1}
A. Smithies	{'Montgomery D. Anderson': 1}
A. Storr	{}
A. T. GRANT	{'G. A. KINGSNORTH': 1}
A. T. K. Grant	{'S. Brittan': 1}
A. T. Weston	{}
A. Tomaselli	{'I. Mikardo': 1, 'R. H. S. Crossman': 1, 'D. Healey': 1, 'A. Albu': 1, 'J. Strachey': 1, 'C. A. R. Crosland': 1, 'Bruno Maffi': 1, 'M. Cole': 1, 'R. Jenkins': 1}
A. Ullah	{'P. C. B. Phillips': 1}
A. V. Antonovics	{'Leon Poliakov': 1, 'Miriam Kochan': 1}
A. V. Muthukrishnan	{'Joseph W. Alba': 1, 'Luk Warlop': 1}
A. Verhulst	{'H. P. H. Jansen': 1}
A. Vernon Harcourt	{'Edward Smith': 1, 'G. Kent': 1, 'Clements R. Markham': 1, 'W. A. Lyttle': 1, 'W. A. Lloyd': 1, 'T. W. Brockelbank': 1}
A. Vierkandt	{'Siegfried Landshut': 1}
A. W. Coats	{'Charles Albro Barker': 1, 'Alon Kadish': 1}
A. W. Currie	{'Burnham Putnam Beckwith': 1, 'Ralph Kirby Davidson': 1}
A. W. Flux	{}
A. W. J. Caron	{}
A. W. Jenkins	{'D. J. Daly': 1, 'S. Globerman': 1}
A. W. MARSHALL	{}
A. W. Patrick	{'Stanley B. Henrici': 1}
A. W. Phillips	{}
A. W. Purdue	{'Bill Lancaster': 1, 'Robert Colls': 1}
A. W. Swan	{}
A. W. Watson	{'L. G. K. Starke': 1}
A. W. Williamson	{'Edwin Chadwick': 1, 'John Brunton': 1, 'Hyde Clarke': 1}
A. Watson	{'L. G. K. Starke': 1}
A. Wayne Corcoran	{'Wayne E. Leininger': 1}
A. Zycha	{'Otto Hue': 1}
A. de Foville	{}
A. v. Baligand	{'Erich Trescher': 1}
A. v. Mühlenfels	{}
A. Özlem Önder	{'Aykut Lenger': 1, 'Ertu\xc4\x9frul Delikta\xc8\x99': 1}
A.H.M. Nuruddin Chowdhury	{'Md. Anisur Rahman': 1}
A.W. DILNOT	{'G.K. STARK': 1}
A. Abigail Payne	{}
AARON PACITTI	{}
ABDUL ABIAD	{'PRACHI MISHRA': 1, 'PETIA TOPALOVA': 1}
ADAM ASTON	{}
ADAM M. GRANT	{}
ADAM SETH LITWIN	{}
ADITYA BHATTACHARJEA	{'UDAY BHANU SINHA': 1}
ADOLFO BARAJAS	{'DALIA HAKURA': 1, 'Thierry Tressel': 1, 'PETER MONTIEL': 1, 'RALPH CHAMI': 1}
ADOLFO SACERDOTI	{}
AHMAD KALEEM	{'MANSOR MUHAMMAD ISA': 1}
AJIT K. DASGUPTA	{'M. N. MURTY': 1}
AKIHITO SUZUKI	{}
AL ULLMAN	{}
ALAN B. KRUEGER	{'JUDD CRAMER': 1, 'DAVID CHO': 1}
ALAN DOIG	{}
ALANSON P. MINKLER	{'TIMOTHY A. PARK': 1}
ALASTAIR C. STALKER	{}
